text,label
"[n]o matter how much good will the actors generate , showtime eventually folds under its own thinness .",1
the longer one watches this determinedly ragged portrait of blue-collar teenage desperation . . . the more one gets absorbed in the utter unbridled nihilism of its 'characters . ',1
it's lost the politics and the social observation and become just another situation romance about a couple of saps stuck in an inarticulate screenplay .,1
"for all the charm of kevin kline and a story that puts old-fashioned values under the microscope , there's something creepy about this movie .",1
"shy san franciscan zoe is a twenty-something love-starved animator who spends countless hours listening to kxch cherish radio , losing herself in a syrupy romantic fantasy of '70s and '80s pop songs .",0
"legendary irish writer brendan behan's memoir , borstal boy , has been given a loving screen transferral .",1
to imagine the life of harry potter as a martial arts adventure told by a lobotomized woody allen is to have some idea of the fate that lies in store for moviegoers lured to the mediocrity that is kung pow : enter the fist .,1
"the guy , named cheung , is in his thirties .",0
another in-your-face wallow in the lower depths made by people who have never sung those blues .,1
"a series of escapades demonstrating the adage that what is good for the goose is also good for the gander , some of which occasionally amuses but none of which amounts to much of a story .",1
"a bittersweet contemporary comedy about benevolent deception , which , while it may not rival the filmmaker's period pieces , is still very much worth seeing .",1
"sara , recently divorced and mourning the loss of her only child , rents her basement to bogdan , a serbian musician who brings the whole band along .",0
"it's a demented kitsch mess ( although the smeary digital video does match the muddled narrative ) , but it's savvy about celebrity and has more guts and energy than much of what will open this year .",1
"for those of an indulgent , slightly sunbaked and summery mind , sex and lucia may well prove diverting enough .",1
"disturbing for its unabashed honesty , our cast of characters both love and despise each other , their very actions acknowledging the pressures inherent in a tightly bonded peer group .",0
"they end up paying ray , the local "" playboy , "" $5 , 000 to date her .",0
"purports to be a hollywood satire but winds up as the kind of film that should be the target of something deeper and more engaging . oh , and more entertaining , too .",1
"a car crash has cut short his promising baseball career , and with his dream of playing in the major leagues destroyed , sean turns to alcohol .",0
"obviously , a lot of people wasted a lot of their time ( including mine ) on something very inconsequential .",1
the circles cause a media frenzy and test hess's faith as he journeys to find out the truth behind the crop circles .,0
". . . too slow , too boring , and occasionally annoying .",1
there's not a fresh idea at the core of this tale .,1
simon is desperately trying to save his internet personals business .,0
"in those short time , rio learn about the things he missed all this time .",0
for him semana santa is a time to kill .,0
the first fatal attraction was vile enough . do we really need the tiger beat version ?,1
"a very hung-over julie is also there , on a field trip with her art class .",0
the characters are never more than sketches . . . which leaves any true emotional connection or identification frustratingly out of reach .,1
"but again , her guardian angel reactivates her will to live .",0
will god let her fall or give her a new path ?,0
neither revelatory nor truly edgy--merely crassly flamboyant and comedically labored .,1
"at its heart and most importantly , spirited away concerns a little girl learning to honour her friends and her family by valuing herself .",1
"ultimately the project comes across as clinical , detached , uninvolving , possibly prompting audience members to wonder , 'what's the point ? '",1
true love is right around the corner as long as he doesn't lose sight of what he's looking for .,0
"barry convinces us he's a dangerous , secretly unhinged guy who could easily have killed a president because it made him feel powerful .",1
"pistachio disguisey , a sweet-natured italian server at his father fabbrizio's restaurant , can't figure out why he compulsively mimics his customers and desires to change his appearance .",0
"the story itself it mostly told through on-camera interviews with several survivors , whose riveting memories are rendered with such clarity that it's as if it all happened only yesterday .",1
"the narration then examines the nation's colonial history , beginning with the first german missionary in 1901 , the establishment of schools , french occupation following world war i , the paucity of books written by and published by cameroonians , and the repression of the cpu , a leftist organization of the 1950s and 1960s .",0
"unbeknownst to the elders , the widows daughter has come to settle the estate , evict them and have an estate sale all in one day .",0
bogdanich is unashamedly pro-serbian and makes little attempt to give voice to the other side .,1
canada's arctic light shines bright on this frozen tundra soap opera that breathes extraordinary life into the private existence of the inuit people .,1
as it stands it's an opera movie for the buffs .,1
"kids surely will like it . and for adults , it's perfectly watchable in a rugrats-y sort of way .",1
"in mid-1970s savannah , two bright but rebellious boys , francis doyle and tim sullivan , fight boredom , hormones and harsh teachers as they struggle to find something meaningful beyond the walls of their parish school .",0
"agency owner/president , claire upton , has put together a 6 minute training video designed to help you gain job satisfaction as a contingent employee .",0
"unable to remember his name or anything from his past life , he cannot get a job or an apartment , so he starts living on the outskirts of the city and slowly starts putting his life back on track .",0
"in this way , we will find space between these to fit smaller stones , our small necessities .",0
"discouraged , and on the point of giving up writing , yun fei meets a young girl who can't see colours , who encourages him to persevere .",0
a rather average action film that benefits from several funny moments supplied by epps .,1
"it's difficult to imagine the process that produced such a script , but here's guessing that spray cheese and underarm noises played a crucial role .",1
"based on nicole valery-grossu's european best seller autobiographic novel "" bless you , prison "" , the film is a true story , with real events and characters .",0
"while insomnia is in many ways a conventional , even predictable remake , nolan's penetrating undercurrent of cerebral and cinemantic flair lends ( it ) stimulating depth .",1
happy times maintains an appealing veneer without becoming too cute about it .,1
"one day , tobias sees caroline , a former school pal from the east .",0
this is one of those rare docs that paints a grand picture of an era and makes the journey feel like a party .,1
"according to wendigo , 'nature' loves the members of the upper class almost as much as they love themselves .",1
"but then the crew detects a break-in on their computer systems , and picard is captured by the romulans because shinzon needs him as his only matching supplier of genetic material .",0
"it wraps up a classic mother/daughter struggle in recycled paper with a shiny new bow and while the audience can tell it's not all new , at least it looks pretty .",1
the casting of von sydow . . . is itself intacto's luckiest stroke .,1
"a young french journalist , marina , is writing a report on 'the next film starred by melina : the story of lilly' .",0
the film is almost eerily calm and refuses to take sides . but that lets its insights penetrate all the deeper .,1
high in the mountains of macedonia a team of young film makers are making a documentary about katerina vandeva - a descendant of an ancient and very famous family .,0
ultimately engages less for its story of actorly existential despair than for its boundary-hopping formal innovations and glimpse into another kind of chinese 'cultural revolution . ',1
"bereft at the loss of their parents and disillusioned with the law , the sisters turned professional assassins , killing criminals for other criminals .",0
maudlin and melodramatic we expected . boring we didn't .,1
"first , for a movie that tries to be smart , it's kinda dumb . and second , what's with all the shooting ?",1
"a young boy has been possessed so as to capture a young , beautiful girl .",0
"further complicating her isolated existence , alicia's high school principal compels her to pay a reluctant visit on the still-hospitalized deanna .",0
"she is sent to prison for life , and astrid has to go through foster home after foster home .",0
"that the chuck norris "" grenade gag "" occurs about 7 times during windtalkers is a good indication of how serious-minded the film is .",1
[siegal] proves that you don't have to be a just out of film school gen-x'er to make a resonant and entertaining movie about young adults .,1
"color , musical bounce and warm seas lapping on island shores . and just enough science to send you home thinking .",1
"behind the snow games and lovable siberian huskies ( plus one sheep dog ) , the picture hosts a parka-wrapped dose of heart .",1
"the second : a saturday two years later , where charlotte and cecil now a couple , fight , break-up and finally reunite .",0
"awaking , he meets manny , a mammoth who travels to the north , and decides to follow him .",0
"this romantic comedy , described as an african-american when harry met sally . . . , centers on a romance between an a&#38 ; r exec , dre ( diggs ) , at a hip-hop label and a magazine editor , sidney ( lathan ) , who have known each other since childhood .",0
"the work of an artist tormented by his heritage , using his storytelling ability to honor the many faceless victims .",1
the script isn't very good ; not even someone as gifted as hoffman ( the actor ) can make it work .,1
fashion is considered a glamorous industry full of beautiful people .,0
if your taste runs to 'difficult' films you absolutely can't miss it .,1
"his big brother george has also made a new friend , will , so stuart is feeing lonely .",0
"the girl's lover thinks she's been kidnapped , and goes looking for her .",0
now the monk must look for a new scrollkeeper .,0
"a lyrical , bittersweet film about what could be termed a by-product of battle .",1
"living in a beach shack with three roommates including her rebellious younger sister , she is up before dawn every morning to conquer the waves and count the days until the pipe masters surf competition .",0
"while mitchell gets ready for school , his mother and her friend ( lisa ) plan a murder , business as usual .",0
"bullock stars as lucy kelson , chief counsel for the wade corporation , one of new york city's top commercial real estate developers .",0
toes the fine line between cheese and earnestness remarkably well ; everything is delivered with such conviction that it's hard not to be carried away .,1
"now that they're back together , they should be perfect for each other , except that dre's about to marry lawyer reese and sidney claims not to be interested in dre romantically .",0
"however , when a friend confronts him with a very dark and horrifying scam for some quick dough and good times , he declines , but never the less he soon finds himself entangled in a web of sex , drugs and christmas carols .",0
"you'll be left with the sensation of having just witnessed a great performance and , perhaps , give in to the urge to get on your feet and shake it .",1
"rehearsals are frequently more fascinating than the results . last dance , whatever its flaws , fulfills one facet of its mission in making me want to find out whether , in this case , that's true .",1
"shown as an episode of "" the south bank show "" .",0
a bit of whimsically warped history elevated by the central performance of ian holm .,1
"he comes back , calling himself the master , and becomes a charismatic spiritual leader , running a teen shelter in hollywood .",0
"after being rejected for the perfect job , the aspiring animator faces an impending interview for a receptionist position at the same firm .",0
the world around him seemingly comes to a stop ; everything and everybody becomes frozen in time .,0
"before they can begin repairing and towing the ghost ship towards harbor , the crew encounters a series of bizarre ocurrences , and the group becomes trapped inside the ship .",0
"she confronts him , but the smooth talking mackenheim seduces her into a romantic dinner at his house .",0
"john klein ( richard gere ) , a washington newspaper reporter leaves his job after his wife ( debra messing ) dies to investigate strange reports , including psychic visions ( "" prophecies "" ) and sightings of winged creatures ( "" mothmen "" ) , in a small west virginia town , that may be the signs of an alien invasion of earth . . .",0
"cold and scattered , minority report commands interest almost solely as an exercise in gorgeous visuals . that's not vintage spielberg and that , finally , is minimally satisfying .",1
"the tale unfolds as a group of hustlers encounter "" the dean "" and pull off a successful sting that results in their pursuit by a vengeful gangster .",0
"mark hamill , sally struthers , brad hunt , angela featherstone and missy crider round out the cast .",0
owners who will do almost anything to keep them running .,0
""" the bride "" was once part of a group of world class female assassins , until the group leader , "" bill "" and the other assassins turn against her .",0
a dizzying digital video oddyssey through the snowy woods of upstate new york .,1
"unaware that they're transporting a cache' of money , along with jimmy hoffa's finger ( street valued at $25 mil ) , they find themselves thwarting pursuers as they manipulate their way out west .",0
and the detective isn't convinced that this will be the last . . .,0
"in this documentary , hannah , an ex-refugee , returns with her 55 year old son to the prison where she was held for five years .",0
"used to living in poverty , it seemed impossible for cass and cary to have a comfortable and bountiful life until doqa gracia comes to bring them into her home .",0
"the roadworkers are mates from way back , and each weekend they go out to an old goldmining site hoping to strike it rich .",0
it's the kind of film where the villain even gives an evil look for his passport photo . how can you resist that ?,1
"set in hounslow , west london and hamburg , the film follows two 18 year olds with their hearts set on a future in professional soccer .",0
". . . best seen as speculative history , as much an exploration of the paranoid impulse as a creative sequel to the warren report .",1
"occasionally funny , always very colorful and enjoyably overblown in the traditional almodóvar style .",1
"the action is captured inside an eclectic , three-story craftsman - itself serving as a central character to the story .",0
he proposes stealing artworks from her clients and convinces her that they could be quickly fenced .,0
"in california , texas , and several other states , conservative politicians successfully waged legislative campaigns to outlaw and prohibit the sale , ownership or use of vibrators and dildos while simultaneously criminalizing other 'deviant' sexual practices .",0
"this mild-mannered farce , directed by one of its writers , john c . walsh , is corny in a way that bespeaks an expiration date passed a long time ago .",1
"if this dud had been made in the '70s , it would have been called the hills have antlers and played for about three weeks in drive-ins .",1
"however , after an inexplicable letter arrives , any signs of normalcy in his life begin to fade .",0
"writer/director steve oedekerk uses contemporary characters and splices them into a 1970s kung-fu film , weaving the new and old together .",0
'rare birds' tries to force its quirkiness upon the audience .,1
"extreme oops - oops , ops , no matter how you spell it , it's still a mistake to go see it .",1
"children of the century , though well dressed and well made , ultimately falls prey to the contradiction that afflicts so many movies about writers .",1
"a series of mysterious and bizarre death threats soon ushers in symptoms of paranoia , unwelcome fame , and eventually a severe case of writer's block .",0
adding to the situation is a killer hurricane bearing down on the island .,0
hawke draws out the best from his large cast in beautifully articulated portrayals that are subtle and so expressive they can sustain the poetic flights in burdette's dialogue .,1
it's so devoid of joy and energy it makes even jason x . . . look positively shakesperean by comparison .,1
"the unceasing sadism is so graphically excessive , the director just ends up exposing his own obsession .",1
director chris eyre is going through the paces again with his usual high melodramatic style of filmmaking .,1
"a generation x artifact , capturing a brief era of insanity in the sports arena that surely cannot last .",1
"in the end , we go back to a bedroom , one we saw in the very first scene and realize that this story was actually being told by lucy to jess , the lawyer she's been seeing , two weeks before lucy is scheduled to leave for the writing fellowship .",0
jenny must fight to earn her scholarship and try to find a balance between the man of her faith and the man of her dreams .,0
"egoyan boldly inspires viewers to deal with issues of cultural memory and responsibility , especially in moments of confusion when family issues intersect with monumental historical facts .",1
playing a role of almost bergmanesque intensity . . . bisset is both convincing and radiant .,1
"hey , at least the title of this film lets you know exactly where it's heading .",1
"a sharp , amusing study of the cult of celebrity .",1
guy mann has been cursed since birth with blue skin .,0
"in the end , the film feels homogenized and a bit contrived , as if we're looking back at a tattered and ugly past with rose-tinted glasses .",1
"every moment crackles with tension , and by the end of the flick , you're on the edge of your seat .",1
"it is then an intimate view of the smoldering monochromatic site and the surrounding solitary streets , the ashen outskirts of new york's financial center , desolate and strewn with debris , the epicenter , a steel moonscape of dresdenesque remains .",0
for a rapsploitation film to target and frown upon the darker forces of its nature is certainly a good sign for the maturation of the genre .,1
"one of the ring's original bearers , the creature gollum ( andy serkis ) , has tracked frodo and sam down in search of his 'precious' , but is captured by the hobbits and used as a way to lead them to mt .",0
the whole thing plays like a tired tyco ad .,1
"first and foremost . . . the reason to go see "" blue crush "" is the phenomenal , water-born cinematography by david hennings .",1
she claims he is distant and has shut her out .,0
"the perfect vehicle for berling and bouquet , and both are superb .",1
williams has now proven that he can play creepy with the best of them .,1
alice is a cleaning lady at the nearby hospital and she sells the books that the patients leave behind .,0
"payne has created a beautiful canvas , and nicholson proves once again that he's the best brush in the business .",1
"he tries , with his family's support , to find a job and live a normal life .",0
"it just might all be bearable , somehow possible to live through , if it weren't for those damned 'monsters' that keep trying to kill him .",0
a sobering and powerful documentary about the most severe kind of personal loss : rejection by one's mother .,1
like the chilled breath of oral storytelling frozen onto film .,1
"chilling , well-acted , and finely directed : david jacobson's dahmer .",1
"a love for films shines through each frame and the era is recreated with obvious affection , scored to perfection with some tasty boogaloo beats .",1
the movie slides downhill as soon as macho action conventions assert themselves .,1
"witherspoon and her huge forehead really were pretty funny and this movie was much better than her last effort , "" legally blonde . """,1
"boasts a handful of virtuosic set pieces and offers a fair amount of trashy , kinky fun .",1
"chilling in its objective portrait of dreary , lost twenty-first century america .",1
alice must also come to terms with her slowly-returning memories .,0
"together , they develop a criminal energy that knows no boundaries and leads them to cold-blooded murder . . .",0
"there is the mother and the father , who don't seem to have a normal marriage anymore , there's the daughter , lena , who has a disease and will soon leave the house for medical treatment in switzerland , and her husband harry , who has a mysterious past .",0
"using everything from closely mic-ed subjects to infrared video standing by yourself gets uncomfortably close to its subjects as they get drunk and high , squander money , rip-off their parents , and get in trouble with pretty much everyone in their paths as a conduit to simply having a good time .",0
"meanwhile an unspoken attraction develops between joe and ella , heightening the claustrophobic tensions in the confined space of the barge .",0
an unorthodox little film noir organized crime story that includes one of the strangest love stories you will ever see .,1
"kiarostami profoundly displays uganda's life and culture through his touristy pictures , as deceptively simple as the alphabet",1
"like the tuck family themselves , this movie just goes on and on and on and on",1
except shaun runs into one complication after another starting when his application is rejected after his dim-witted guidance counselor sends the wrong application .,0
"it's as if a bored cage spent the duration of the film's shooting schedule waiting to scream : "" got aids yet ? """,1
"but genevieve is anticipating exactly that type of response from starla and soon turns everyone , including starla's friends and family , against her by playing the poor victim and making it appear that starla's the aggressor .",0
"so this race to reach the diamonds becomes deadlier and all three powers - vikrant , guru and anna clash .",0
"he discovers that his friend has gone into business , and is successfully breeding black chickens .",0
the film is an enjoyable family film -- pretty much aimed at any youngster who loves horses .,1
"before parting , werner promised his friend that the disease wouldn't have the last word .",0
"there are wonderful moments of humor , and demonstrations of humanity , strength , and the resilience of the human spirit .",1
"her parents continue their quest to uphold strict chinese traditions as esther buffy continues to fall faster and faster finding herself up against god , satan , life and possibly death .",0
"the main theme of this feature- 90 minute film , the exploitation of art for political ideology , is expressed by the personal and ideological conflicts between three artists and their mentors .",0
"ranging from funny to shattering and featuring some of the year's best acting , personal velocity gathers plenty of dramatic momentum .",1
doesn't come close to justifying the hype that surrounded its debut at the sundance film festival two years ago .,1
"birot has succeeded in making a movie that has some laughs , low points and high ideals .",1
"the only way to tolerate this insipid , brutally clueless film might be with a large dose of painkillers .",1
"after all the big build-up , the payoff for the audience , as well as the characters , is messy , murky , unsatisfying .",1
plays less like a coming-of-age romance than an infomercial .,1
"one day , margalo is nowhere to be found , so stuart and snowbell set out across the city to find her while george covers for stuart ( the first time he's had to lie ) .",0
"contrary to the homeless stereotype , jack's existence is ruled by discipline .",0
bears is even worse than i imagined a movie ever could be .,1
"the movie doesn't generate a lot of energy . it is dark , brooding and slow , and takes its central idea way too seriously .",1
reign of fire looks as if it was made without much thought -- and is best watched that way .,1
"the character is too forced and overwritten to be funny or believable much of the time , and clayburgh doesn't always improve the over-the-top mix .",1
"romy dispenses orders like a drill sergeant as they scramble southwest to round up the last two surviving members of eagle's wwii , b-17 bomber crew .",0
"this is a beautifully sensitive portrait of a unique school and , a very special teacher .",1
"as the day unfolds , the decisions become clearer and yet more difficult to make as the characters question what the true meaning of their lives are .",0
sheridan . . . smoothes over sources of conflict that could have lent the film a bit more depth .,1
"trust and deceit , generosity and meanness are fleshed out by a deft cast .",1
"a subtle , humorous , illuminating study of politics , power and social mobility .",1
""" sumo east and west "" takes us into this world through the story of wayne vierra of hawaii , aka kamakiiwa , a former professional sumo wrestler in japan whose pro career was cut short by injury , but who rebounded to become a champion in the growing world of amateur sumo .",0
"an interesting psychological thriller that , more often than not , actually works .",1
"oblivious of all the differences of status and background , a bond that would never break grew between them .",0
"she finds jack's captivity an irresistible turn-on and he can't figure out if she's for real , or manipulating him , too .",0
"soon , the team begins to suspect that knowles' main objective is actually to recover the prototype of a dna testing machine called the huxley project , which his company has spent years and millions of dollars developing .",0
that rara avis : the intelligent romantic comedy with actual ideas on its mind .,1
"impostor doesn't do much with its template , despite a remarkably strong cast .",1
"a classic romance always involves a certain formula : boy meets girl , boy loses girl , boy gets girl . beijing bicycle is a romance , except the love interest is a bicycle and not a girl .",1
empire can't make up its mind whether it wants to be a gangster flick or an art film . it doesn't work as either .,1
"you're not merely watching history , you're engulfed by it .",1
an improvement on the feeble examples of big-screen poke-mania that have preceded it .,1
the brothers chow nunn and chow lui's giant computer company is facing a tense crisis - a powerful computer virus is rapidly wiping out their computer network .,0
"in "" the hill "" , director kurt burk brings us on a voyage through dreams of a lost childhood , to the emptiness of a normal , conditioned life , into a fantastic , surreal dream world that echoes of the past .",0
the slam-bang superheroics are kinetic enough to engross even the most antsy youngsters .,1
"he is again shocked to see the wife , she is deeksha .",0
"struggling to fit in , jonathan decides to stop going to church only to be pursued by the members of the local singles ward who want to reactivate him .",0
"in this movie , steven seagal and ja rule get put in the "" new alcatraz "" apparently because ja rule kills a cop .",0
the story and characters are nowhere near gripping enough .,1
"their marriage turns into a downward spiral where she works at a local strip club and starts having an affair with her husbands best friend , freddy .",0
few films this year have been as resolute in their emotional nakedness .,1
"almost everything about the film is unsettling , from the preposterous hairpiece worn by lai's villainous father to the endless action sequences .",1
"a film full of vivid characters , quiet beauty and gentle grace .",1
he is intelligent and has a sense of humour .,0
"good , -- * interviews with dp neihouse and astronaut susan helms *",1
"'a fresh-faced , big-hearted and frequently funny thrill ride for the kiddies , with enough eye candy and cheeky wit to keep parents away from the concession stand . '",1
"content merely to lionize its title character and exploit his anger - all for easy sanctimony , formulaic thrills and a ham-fisted sermon on the need for national health insurance .",1
"a thoughtful , reverent portrait of what is essentially a subculture , with its own rules regarding love and family , governance and hierarchy .",1
"concerned that his son is going to embarrass him during his campaign to become the governor of california , brad's wealthy father and his campaign manager ( underwood ) , hire two juilliard-trained actors ( diggs and anderson ) to disguise themselves as "" real life gangstaz "" , and kidnap his son , dropping him off in the "" real hood "" in compton , in an effort to scare the ghettofied attitude and behavior out of him .",0
"what madonna does here can't properly be called acting -- more accurately , it's moving and it's talking and it's occasionally gesturing , sometimes all at once .",1
"but now , hell is coming back as that black haired , winged creature of doom that kyle described is coming back to town .",0
"she gets quite curious about this man , who is not like anyone she's ever met before .",0
"bret owns a small but successful art gallery , balancing aesthetics and business deftly .",0
"lanie's professional success means she must be a failure at life , because she's driven by ambition and doesn't know how to have fun .",1
"but someone breaks the link before they have finished and now a demon is trapped in their world and the only way to banish it , is for all the people who summoned it to die .",0
[majidi] makes us think twice about immigrants we see around us every day .,1
fourth generation war hero col . william mcnamara is imprisoned in a brutal german pow camp .,0
"stuart's mother is being over-protective of him , especially when he narrowly escapes injury in a soccer game .",0
"one minute , you think you're watching a serious actioner ; the next , it's as though clips from the pink panther strikes again and/or sailor moon have been spliced in .",1
"as expected , sayles' smart wordplay and clever plot contrivances are as sharp as ever , though they may be overshadowed by some strong performances .",1
"much as we might be interested in gratuitous sexualization , haneke has a different objective in mind--namely the implications of our craving for fake stimulation .",1
"at the same time , william has become the object of wrath by a popular but pompous and pridefilled christian radio commentator who brands william as a false prophet and seeks to destroy him .",0
"an impressively coordinated enterprise that lasts three hours , manages a large cast , and covers a period of 30-odd years while successfully unfolding as a series of scenes from the life of a single character .",1
"the subtle strength of "" elling "" is that it never loses touch with the reality of the grim situation .",1
"documentary about runaway and homeless lesbian , gay , and transsexual youth .",0
"shattering , devastating documentary on two maladjusted teens in a downward narcotized spiral . extraordinary debut from josh koury .",1
fay is his total opposite ; her romantic ideal has not yet been attained and is unlikely ever to be due to her impossibly high expectations as a result of living with the perfection that is her parents' rock solid marriage .,0
"the storylines are woven together skilfully , the magnificent swooping aerial shots are breathtaking , and the overall experience is awesome .",1
dense and enigmatic . . . elusive . . . stagy and stilted,1
sam and the kids band together and manage to combat the armed thugs and foil lamb's perfectly planned crime .,0
"in a small southern american town , paul , who is known for having sexual relations with every girl in town , falls in love with his best friend's younger sister who is a virgin .",0
"leave it to rohmer , now 82 , to find a way to bend current technique to the service of a vision of the past that is faithful to both architectural glories and commanding open spaces of the city as it was more than two centuries ago .",1
"a smart , steamy mix of road movie , coming-of-age story and political satire .",1
"if you love motown music , you'll love this documentary .",1
"an entertaining , if somewhat standardized , action movie .",1
"this orange has some juice , but it's far from fresh-squeezed .",1
at first this encounter with his past is pleasant until julie's ex-boyfriend ben shows up .,0
"this is the kind of movie during which you want to bang your head on the seat in front of you , at its cluelessness , at its idiocy , at its utterly misplaced earnestness .",1
"she's at a dead end , married to edgar ( henry thomas ) , a petty thief who had his shot and missed long ago , but is too dense to realize it .",0
it becomes clear that the line between assailant and victim has begun to break down and that the roles in this relationship are now unclear .,0
rowan plays the eponymous lead character in a spoof spy thriller .,0
"both undauntedly take a sardonic , action-packed jaunt with plenty of gunplay and intrigue with an unforgettable cast of characters after marko's trusting wife ashe ( robyn adamsom ) discovers that these two deviants of social behavior have bet her entire life savings of 3 , 000 bucks on an nba play-off game .",0
"it is only natural for "" the shu "" to flourish under the care of corrupt and powerful men like battista .",0
"hill looks to be going through the motions , beginning with the pale script .",1
"from spiritual rebirth to bruising defeat , vincent's odyssey resonates in a profound way , comparable to the classic films of jean renoir .",1
fisher has bared his soul and confronted his own shortcomings here in a way . . . that feels very human and very true to life .,1
"what would have otherwise been a routine nostalgic coming-of-ager takes on a new , innovative form .",1
"the characters are so generic and the plot so bland that even as rogue cia assassins working for chris cooper's agency boss close in on the resourceful amnesiac , we don't feel much for damon/bourne or his predicament .",1
"the plot involves an innocent poor boy , who is a happy go lucky , always trying to live a stylish life .",0
the best thing that can be said of the picture is that it does have a few cute moments .,1
"daughter from danang reveals that efforts toward closure only open new wounds . it doesn't flinch from its unsettling prognosis , namely , that the legacy of war is a kind of perpetual pain .",1
"in their own words , and not a moment too soon - 'broadway' tells the stories of our theatrical legends , how they came to new york , and how they created this legendary century in american theatre .",0
charlie is man who wakes up one morning to find that no one can see him .,0
"the message becomes the savior for "" the country bears , "" an equal parts silly and sweet tale that wears its great big ol' heart on its grizzly-sized sleeve .",1
"a time machine , a journey back to your childhood , when cares melted away in the dark theater , and films had the ability to mesmerize , astonish and entertain .",1
"the performers are so spot on , it is hard to conceive anyone else in their roles .",1
